Año,Fecha,Torneo,Instancia,Rival,GF,GC,Resultado,Lugar
2026,19/4/2026,Apertura,FECHA 2,ENFUGEIRA,5,1,V,PRO
2026,12/4/2026,Apertura,FECHA 1,FERNETBACHE,1,3,D,PRO
2026,15/3/2026,Pretemporada,,EDU SKOL,3,1,V,PRO
2026,4/03/2026,Pretemporada,,REAL PACHUCASO,6,4,V,POLI
2025,9/11/2025,Clausura,FINAL,DEL VAMOS,2,1,V,PRO
2025,2/11/2025,Clausura,SEMI FINAL,EL COMBO,3,0,V,PRO
2025,12/10/2025,Clausura,FECHA 9,MISTIK,3,0,V,PRO
2025,5/10/2025,Clausura,FECHA 8,CALLEJEROS,1,4,D,PRO
2025,28/09/2025,Clausura,FECHA 7,DEL VAMOS,0,2,D,PRO
2025,21/09/2025,Clausura,FECHA 6,FERNETBACHE,0,3,D,PRO
2025,14/09/2025,Clausura,FECHA 5,EL COMBO,2,3,D,PRO
2025,7/09/2025,Clausura,FECHA 4,EL VAPA,3,3,E,PRO
2025,31/08/2025,Clausura,FECHA 3,BALDO,3,2,V,PRO
2025,24/08/2025,Clausura,FECHA 2,LOS MAGICOS,4,1,V,PRO
2025,17/08/2025,Clausura,FECHA 1,LA COSTA,2,3,D,PRO
2025,3/08/2025,Copa del Rey,SEMI FINAL,LA COSTA,4,1,V,PRO
2025,27/07/2025,Copa del Rey,CUARTOS DE FINAL,BALDO,4,2,V,PRO
2025,13/07/2025,Copa del Rey,FASE DE GRUPOS,PORTE,3,0,V,PRO
2025,6/07/2025,Copa del Rey,FASE DE GRUPOS,PARENAESE,0,3,D,PRO
2025,29/06/2025,Copa del Rey,FASE DE GRUPOS,LOS MAGICOS,3,1,V,PRO
2025,25/05/2025,Apertura,FECHA 9,FUNF,1,2,D,PRO
2025,18/05/2025,Apertura,FECHA 8,CONSTANTINOPLA,3,0,V,PRO
2025,11/05/2025,Apertura,FECHA 7,DEL VAMOS,2,4,D,PRO
2025,4/05/2025,Apertura,FECHA 6,CALLEJEROS,2,4,D,PRO
2025,27/04/2025,Apertura,FECHA 5,FERNETBACHE,0,1,D,PRO
2025,20/04/2025,Apertura,FECHA 4,EL VAPA,2,2,E,PRO
2025,13/04/2025,Apertura,FECHA 3,EL COMBO,4,1,V,PRO
2025,6/04/2025,Apertura,FECHA 2,LOS MAGICOS,2,3,D,PRO
2025,30/03/2025,Apertura,FECHA 1,COSTANERO,2,3,D,PRO
2024,15/12/2024,Clausura,FINAL,CONSTANTINOPLA,3,4,D,PRO
2024,8/12/2024,Clausura,FINAL,CONSTANTINOPLA,2,3,D,PRO
2024,10/11/2024,Copa de Oro,SEMI FINAL,CALLEJEROS,3,1,V,PRO
2024,3/11/2024,Clausura,FECHA 11,EL VAPA,3,0,V,PRO
2024,20/10/2024,Clausura,FECHA 10,PARENAESE,4,0,V,PRO
2024,13/10/2024,Clausura,FECHA 9,TANKENCH,6,2,V,PRO
2024,7/10/2024,Amistosos,,RAYO ROJO,3,1,V,
2024,29/09/2024,Clausura,FECHA 7,EL COMBO,4,4,E,PRO
2024,22/09/2024,Clausura,FECHA 6,CONSTANTINOPLA,4,1,V,PRO
2024,15/09/2024,Clausura,FECHA 5,LA COSTA,6,2,V,PRO
2024,8/09/2024,Clausura,FECHA 4,SAFAERA,9,0,V,PRO
2024,18/08/2024,Clausura,FECHA 3,MISTIK,4,2,V,PRO
2024,11/08/2024,Clausura,FECHA 2,CALLEJEROS,3,3,E,PRO
2024,4/08/2024,Clausura,FECHA 1,REAL PACHUCASO,7,3,V,PRO
2024,7/07/2024,SuperCopa,CUARTOS DE FINAL,LOS MAGICOS,1,2,D,PRO
2024,23/06/2024,SuperCopa,FASE DE GRUPOS,LA COSTA,3,2,V,PRO
2024,16/06/2024,SuperCopa,FASE DE GRUPOS,LOS MAGICOS,2,1,V,PRO
2024,9/06/2024,SuperCopa,FASE DE GRUPOS,REAL PACHUCASO,6,1,V,PRO
2024,19/05/2024,Apertura,FECHA 9,EL VAPA,4,2,V,PRO
2024,5/05/2024,Apertura,FECHA 8,RECREATIVO THC,4,2,V,PRO
